species,longitude,latitude,eventDate,coordinateUncertaintyM,basisOfRecord,license
Macropus giganteus,153.195782,-28.812968,2022-07-29,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.749751,-34.938173,2024-10-31,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.74013,-27.55576,2021-08-14,100.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,144.19808,-37.81391,2024-04-09,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.295131,-35.646912,2024-10-27,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.652177,-34.050824,2022-06-29,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.215329,-30.503916,2024-04-05,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.590801,-34.894336,2024-01-27,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.800392,-33.737135,2020-08-10,719.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,147.786487,-33.565028,2025-05-09,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.100818,-33.598334,2024-07-05,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.366937,-35.412681,2024-05-25,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,145.28754,-37.93391,2023-10-27,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.043713,-33.432567,2025-04-08,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.568853,-34.123018,2025-05-13,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.318493,-30.457662,2025-10-08,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.791511,-31.437919,2022-08-11,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.60842,-36.433085,2023-08-06,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,153.065291,-30.891464,2020-04-09,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.227276,-35.206022,2025-06-21,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.47803,-30.83637,2023-11-04,5.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.749207,-33.605695,2022-12-22,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.954917,-32.158402,2021-09-23,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.6674,-30.5006,2022-07-09,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.185167,-30.588635,2020-01-09,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,144.99106,-37.55805,2022-07-14,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,143.7132,-36.88327,2022-12-15,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,143.37354,-38.58958,2023-03-24,10.0,OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.202475,-30.522758,2022-09-22,100.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.32218,-30.47565,2022-10-25,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.125867,-33.240665,2023-12-07,1000.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.56742,-36.3541,2020-04-15,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.76466,-34.79334,2020-03-15,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,148.5696,-34.1196,2025-04-01,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.65607,-37.20523,2022-12-16,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,149.829495,-35.023667,2023-12-28,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.35205,-38.53787,2022-04-22,1.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,150.932913,-31.78175,2023-06-12,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,152.0177,-29.0486,2020-06-27,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.01677,-36.575788,2024-01-02,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.864261,-30.292648,2025-10-06,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.287571,-35.67992,2020-10-30,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,151.427,-31.06895,2020-03-31,10.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,150.479889,-30.407946,2025-06-10,50.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,143.54106,-38.45609,2020-02-06,10.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,143.71799,-36.79066,2024-02-03,5.0,OCCURRENCE,CC-BY 4.0 (Int)
Macropus giganteus,151.278556,-32.900998,2021-04-22,500.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
Macropus giganteus,149.87076,-36.929385,2023-02-10,30.0,HUMAN_OBSERVATION,CC-BY 4.0 (Int)
