species,latitude,longitude,coordinate_uncertainty_m,basis_of_record,event_date
Macropus giganteus,-17.64038,145.40182,100.0,OCCURRENCE,2002-09-29
Macropus giganteus,-34.644283,139.371091,702.0,HUMAN_OBSERVATION,2026-05-23
Macropus giganteus,-19.20362,146.06632,100.0,OCCURRENCE,2014-05-17
Macropus giganteus,-18.15418,145.4564,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-20.64976,146.72225,50.0,OCCURRENCE,2011-06-23
Macropus giganteus,-13.175426,142.739959,,HUMAN_OBSERVATION,2024-06-20
Macropus giganteus,-19.53053,144.18679,20.0,OCCURRENCE,2009-05-28
Macropus giganteus,-13.85314,143.15129,500.0,OCCURRENCE,1979-03-10
Macropus giganteus,-21.671928,149.442933,4.0,HUMAN_OBSERVATION,2025-11-02
Macropus giganteus,-35.101339,139.269454,75.0,HUMAN_OBSERVATION,2024-09-21
Macropus giganteus,-19.74054,144.25417,100.0,OCCURRENCE,2022-12-28
Macropus giganteus,-14.72721,143.63806,100.0,OCCURRENCE,2010-06-01
Macropus giganteus,-21.676171,149.443363,15.0,HUMAN_OBSERVATION,2026-08-04
Macropus giganteus,-31.519753,138.621387,30.0,HUMAN_OBSERVATION,2025-03-09
Macropus giganteus,-16.986832,145.414777,,HUMAN_OBSERVATION,2007-10-30
Macropus giganteus,-18.09112,144.82779,500.0,OCCURRENCE,1996-11-29
Macropus giganteus,-21.5228,147.96851,100.0,OCCURRENCE,
Macropus giganteus,-18.14756,145.41124,50.0,OCCURRENCE,2002-12-28
Macropus giganteus,-20.10972,141.32066,100.0,OCCURRENCE,2022-09-12
Macropus giganteus,-18.22221,144.7014,100.0,OCCURRENCE,
Macropus giganteus,-15.69888,145.08029,33.0,OCCURRENCE,
Macropus giganteus,-19.79778,144.28861,100.0,OCCURRENCE,
Macropus giganteus,-14.85468,144.15926,100.0,OCCURRENCE,
Macropus giganteus,-19.63804,146.73251,15.0,OCCURRENCE,
Macropus giganteus,-17.51638,145.43278,100.0,OCCURRENCE,
Macropus giganteus,-18.62829,144.96319,250.0,OCCURRENCE,1996-11-29
Macropus giganteus,-19.53747,144.20463,50.0,OCCURRENCE,2018-04-26
Macropus giganteus,-17.54057,145.314,100.0,OCCURRENCE,2003-01-05
Macropus giganteus,-18.22221,144.56528,100.0,OCCURRENCE,2019-03-22
Macropus giganteus,-17.74723,145.01535,100.0,OCCURRENCE,2006-12-31
Macropus giganteus,-19.045699,146.416716,344.0,HUMAN_OBSERVATION,2025-12-02
Macropus giganteus,-18.200653,144.658356,1953.0,HUMAN_OBSERVATION,2005-09-18
Macropus giganteus,-16.587882,145.111464,,HUMAN_OBSERVATION,2020-09-14
Macropus giganteus,-20.092393,148.50236,15.0,HUMAN_OBSERVATION,2023-11-26
Macropus giganteus,-19.041373,146.422087,20.0,HUMAN_OBSERVATION,2025-05-25
Macropus giganteus,-19.53856,144.21195,100.0,OCCURRENCE,2009-09-22
Macropus giganteus,-13.088536,142.95256,,MACHINE_OBSERVATION,2023-08-19
Macropus giganteus,-16.51499,145.13445,1800.0,OCCURRENCE,1938-01-01
Macropus giganteus,-19.320508,146.796037,5.0,HUMAN_OBSERVATION,2019-06-02
Macropus giganteus,-21.69846,148.07617,100.0,OCCURRENCE,
Macropus giganteus,-18.17527,145.0961,500.0,OCCURRENCE,1999-05-02
Macropus giganteus,-17.48863,145.35498,100.0,OCCURRENCE,2007-05-28
Macropus giganteus,-17.42091,145.41522,10.0,OCCURRENCE,2012-06-27
