series,samplePointCount,sourceFile,year,month,monthName,temperatureC,precipitationMm,validTemperaturePointCount,validRainfallPointCount
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,2,Feb,22.0,94.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,3,Mar,21.3,77.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,4,Apr,16.5,96.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,5,May,12.4,38.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,6,Jun,11.5,33.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,7,Jul,11.7,26.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,8,Aug,12.7,47.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,9,Sep,15.6,21.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,10,Oct,17.3,46.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,11,Nov,19.5,115.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2023,12,Dec,22.2,103.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,1,Jan,23.0,109.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,2,Feb,22.9,91.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,3,Mar,21.2,41.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,4,Apr,17.1,168.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,5,May,14.1,130.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,6,Jun,10.9,151.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,7,Jul,10.8,68.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,8,Aug,13.9,42.5,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,9,Sep,14.8,52.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,10,Oct,16.8,43.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,11,Nov,20.6,88.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2024,12,Dec,22.6,49.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,1,Jan,22.4,135.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,2,Feb,22.5,56.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,3,Mar,21.9,130.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,4,Apr,18.4,100.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,5,May,14.9,184.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,6,Jun,10.7,32.7,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,7,Jul,10.8,113.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,8,Aug,11.9,194.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,9,Sep,15.0,73.8,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,10,Oct,18.3,32.6,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,11,Nov,19.4,58.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2025,12,Dec,21.2,45.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,1,Jan,22.9,113.1,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,2,Feb,22.9,90.0,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,3,Mar,21.0,105.2,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,4,Apr,17.4,24.3,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,5,May,15.5,113.9,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,6,Jun,13.1,54.4,299,299
common-brushtail-possum,300,cleaned_marsupials_maplibre_common-brushtail-possum.geojson,2026,7,Jul,11.4,48.7,299,299
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,1,Jan,23.4,78.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,2,Feb,22.1,343.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,3,Mar,19.7,132.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,4,Apr,17.7,61.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,5,May,13.7,94.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,6,Jun,12.1,63.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,7,Jul,11.8,150.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,8,Aug,12.0,81.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,9,Sep,15.4,38.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,10,Oct,17.7,113.4,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,11,Nov,20.0,55.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2020,12,Dec,20.3,127.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,1,Jan,21.6,96.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,2,Feb,20.9,102.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,3,Mar,19.6,334.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,4,Apr,16.8,32.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,5,May,14.4,79.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,6,Jun,11.7,79.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,7,Jul,11.3,47.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,8,Aug,12.7,72.6,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,9,Sep,14.7,55.5,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,10,Oct,16.6,71.1,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,11,Nov,17.6,160.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2021,12,Dec,20.3,95.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,1,Jan,22.8,129.8,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,2,Feb,21.4,269.6,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,3,Mar,20.2,457.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,4,Apr,17.9,199.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,5,May,14.7,129.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,6,Jun,11.1,30.3,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,7,Jul,11.3,297.7,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,8,Aug,12.8,65.2,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,9,Sep,14.1,107.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,10,Oct,16.6,198.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,11,Nov,17.3,66.6,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2022,12,Dec,19.1,46.0,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,1,Jan,21.5,126.9,300,300
common-ringtail-possum,300,cleaned_marsupials_maplibre_common-ringtail-possum.geojson,2023,2,Feb,22.0,121.9,300,300
